,Rank,Name,Market Cap,Price,Today,Country
0,1,Apple,$2.422 T,$150.77,0.23%,USA
1,2,Microsoft,$1.770 T,$237.45,0.20%,USA
2,3,Alphabet (Google),$1.285 T,$98.81,0.36%,USA
3,4,Amazon,$1.173 T,$115.15,1.20%,USA
4,5,Tesla,$858.66 B,$276.01,0.25%,USA
5,6,TSMC,$369.38 B,$73.01,1.16%,Taiwan
6,7,Meta Platforms (Facebook),$366.50 B,$136.37,2.88%,USA
7,8,Tencent,$346.85 B,$36.00,3.24%,China
8,9,NVIDIA,$304.72 B,$122.28,2.30%,USA
9,10,Samsung,$255.11 B,$38.02,0.37%,S. Korea
10,11,Alibaba,$211.84 B,$78.91,0.14%,China
11,12,Broadcom,$187.21 B,$462.26,1.37%,USA
12,13,ASML,$172.49 B,$430.81,1.22%,Netherlands
13,14,Oracle,$171.03 B,$63.45,1.70%,USA
14,15,Cisco,$166.73 B,$40.58,0.20%,USA
15,16,Salesforce,$146.32 B,$146.32,0.47%,USA
16,17,Texas Instruments,$145.77 B,$160.46,0.51%,USA
17,18,QUALCOMM,$134.46 B,$119.74,1.20%,USA
18,19,Meituan,$133.87 B,$21.63,1.37%,China
19,20,Adobe,$132.87 B,$276.96,2.67%,USA
20,21,Intuit,$111.56 B,$395.80,0.46%,USA
21,22,Intel,$110.73 B,$26.97,2.00%,USA
22,23,IBM,$109.36 B,$122.01,0.57%,USA
23,24,AMD,$107.02 B,$66.30,2.44%,USA
24,25,Netflix,$99.64 B,$224.07,1.03%,USA
25,26,PayPal,$97.44 B,$84.26,3.12%,USA
26,27,Automatic Data Processing,$94.95 B,$228.64,0.71%,USA
27,28,SAP,$93.46 B,$79.63,0.20%,Germany
28,29,Sony,$83.32 B,$66.70,2.53%,Japan
29,30,Keyence,$83.30 B,$343.49,0.41%,Japan
30,31,Jingdong Mall,$83.18 B,$53.34,1.97%,China
31,32,Pinduoduo,$76.69 B,$60.66,1.02%,China
32,33,ServiceNow,$74.76 B,$370.10,1.84%,USA
33,34,Analog Devices,$72.42 B,$140.82,0.78%,USA
34,35,Applied Materials,$71.35 B,$82.94,1.60%,USA
35,36,Booking Holdings (Booking.com),$66.27 B,"$1,669",0.04%,USA
36,37,Airbnb,$66.01 B,$103.23,1.45%,USA
37,38,Schneider Electric,$61.49 B,$110.34,0.19%,France
38,39,Fiserv,$61.33 B,$95.90,2.09%,USA
39,40,Activision Blizzard,$58.14 B,$74.33,0.83%,USA
40,41,Atlassian,$54.45 B,$213.61,1.82%,Australia
41,42,Micron Technology,$53.92 B,$48.88,2.44%,USA
42,43,Uber,$53.24 B,$26.89,3.34%,USA
43,44,Equinix,$52.96 B,$581.59,1.95%,USA
44,45,Snowflake,$52.83 B,$165.11,4.08%,USA
45,46,NetEase,$51.46 B,$77.88,0.43%,China
46,47,Lam Research,$50.88 B,$371.44,2.40%,USA
47,48,Nintendo,$48.96 B,$420.57,2.00%,Japan
48,49,Palo Alto Networks,$48.82 B,$163.17,0.99%,USA
49,50,Fidelity National Information Services,$47.17 B,$77.59,3.36%,USA
50,51,Synopsys,$46.38 B,$303.34,0.02%,USA
51,52,Vmware,$45.56 B,$107.71,1.72%,USA
52,53,Foxconn (Hon Hai Precision Industry),$45.19 B,$3.26,0.48%,Taiwan
53,54,Dassault Systèmes,$44.53 B,$33.89,0.17%,France
54,55,Cadence Design Systems,$44.47 B,$162.38,0.88%,USA
55,56,KLA,$43.04 B,$303.57,1.31%,USA
56,57,Tokyo Electron,$41.41 B,$265.94,0.85%,Japan
57,58,Baidu,$41.24 B,$119.47,0.61%,China
58,59,MercadoLibre,$40.24 B,$799.58,1.89%,Argentina
59,60,Roper Technologies,$39.97 B,$377.07,0.25%,USA
60,61,NXP Semiconductors,$39.90 B,$151.95,0.65%,Netherlands
61,62,Autodesk,$39.71 B,$183.99,0.31%,USA
62,63,SK Hynix,$39.47 B,$57.41,0.97%,S. Korea
63,64,Fortinet,$38.07 B,$48.29,0.62%,USA
64,65,Adyen,$37.79 B,"$1,220",0.21%,Netherlands
65,66,Workday,$37.62 B,$146.97,2.82%,USA
66,67,Enphase Energy,$37.23 B,$274.92,1.64%,USA
67,68,CrowdStrike,$37.18 B,$159.35,0.65%,USA
68,69,Marvell Technology Group,$36.32 B,$42.61,1.57%,USA
69,70,TE Connectivity,$36.26 B,$113.39,1.04%,Switzerland
70,71,Shopify,$35.83 B,$28.25,1.77%,Canada
71,72,IQVIA,$34.70 B,$186.08,1.77%,USA
72,73,Microchip Technology,$33.95 B,$61.46,1.16%,USA
73,74,Arista Networks,$33.52 B,$109.10,0.79%,USA
74,75,Block,$31.95 B,$54.14,3.79%,USA
75,76,Electronic Arts,$31.92 B,$114.82,0.71%,USA
76,77,Twitter,$31.77 B,$41.52,0.14%,USA
77,78,Global Payments,$30.98 B,$111.81,2.81%,USA
78,79,Murata Manufacturing (Murata Seisakusho),$30.58 B,$48.43,0.20%,Japan
79,80,STMicroelectronics,$30.35 B,$32.70,1.71%,Switzerland
80,81,Sea (Garena),$30.31 B,$53.97,0.30%,Singapore
81,82,Kuaishou Technology,$30.23 B,$7.04,0.54%,China
82,83,Xiaomi,$30.05 B,$1.21,0.00%,China
83,84,Constellation Software,$29.35 B,"$1,385",0.40%,Canada
84,85,Coupang,$29.13 B,$16.49,2.55%,S. Korea
85,86,MediaTek,$29.02 B,$17.89,0.18%,Taiwan
86,87,Infineon,$28.93 B,$22.22,0.13%,Germany
87,88,GlobalFoundries,$28.51 B,$52.80,0.85%,USA
88,89,CoStar Group,$28.29 B,$69.59,0.03%,USA
89,90,The Trade Desk,$28.05 B,$57.45,0.43%,USA
90,91,Keysight,$27.81 B,$155.56,0.82%,USA
91,92,Datadog,$27.34 B,$86.41,1.00%,USA
92,93,ON Semiconductor,$27.16 B,$62.70,0.96%,USA
93,94,HP,$25.81 B,$24.96,1.54%,USA
94,95,Dell,$25.43 B,$34.70,2.31%,USA
95,96,Wolters Kluwer,$24.57 B,$95.90,1.91%,Netherlands
96,97,Veeva Systems,$24.53 B,$157.99,2.82%,USA
97,98,Nokia,$24.03 B,$4.24,0.47%,Finland
98,99,Canon,$23.40 B,$22.05,1.65%,Japan
99,100,Zscaler,$22.85 B,$159.76,0.67%,USA
100,101,SMIC,$22.48 B,$2.04,0.89%,China
101,102,Zoom,$21.82 B,$73.33,1.50%,USA
102,103,Naver,$21.54 B,$143.70,0.00%,S. Korea
103,104,Delta Electronics,$21.43 B,$8.25,0.58%,Taiwan
104,105,eBay,$20.94 B,$38.13,0.16%,USA
105,106,Ericsson,$20.61 B,$5.85,1.68%,Sweden
106,107,EPAM Systems,$20.38 B,$355.33,2.41%,USA
107,108,Amadeus IT Group,$20.22 B,$44.95,0.30%,Spain
108,109,Ansys,$20.00 B,$229.72,0.08%,USA
109,110,DoorDash,$19.58 B,$50.73,2.46%,USA
110,111,GoTo,$19.53 B,$0.02000,1.56%,Indonesia
111,112,Paycom,$19.26 B,$320.93,1.48%,USA
112,113,"M3, Inc",$19.03 B,$28.04,0.17%,Japan
113,114,JD Health,$18.76 B,$5.90,0.87%,China
114,115,Take 2 Interactive,$18.26 B,$109.57,0.72%,USA
115,116,Kakao,$18.15 B,$41.60,0.84%,S. Korea
116,117,Trip.com,$17.80 B,$27.37,5.31%,China
117,118,Cloudflare,$17.61 B,$53.78,1.19%,USA
118,119,Monolithic Power Systems,$17.18 B,$367.35,1.05%,USA
119,120,Spotify,$17.17 B,$89.14,0.22%,Sweden
120,121,Align Technology,$17.15 B,$219.64,1.25%,USA
121,122,Panasonic,$16.87 B,$7.23,0.29%,Japan
122,123,Snap,$16.78 B,$10.18,1.36%,USA
123,124,Coinbase,$16.31 B,$62.28,0.65%,USA
124,125,ZoomInfo,$15.81 B,$39.19,2.12%,USA
125,126,Nexon,$15.57 B,$17.53,1.98%,Japan
126,127,Palantir,$15.54 B,$7.53,1.76%,USA
127,128,Hewlett Packard Enterprise,$15.45 B,$12.01,1.23%,USA
128,129,Renesas Electronics,$15.14 B,$8.47,1.69%,Japan
129,130,Skyworks Solutions,$14.90 B,$92.87,1.56%,USA
130,131,United Microelectronics,$14.78 B,$5.77,2.37%,Taiwan
131,132,FactSet,$14.75 B,$388.42,1.08%,USA
132,133,Bandai Namco,$14.59 B,$66.33,1.31%,Japan
133,134,Tyler Technologies,$14.25 B,$342.75,0.48%,USA
134,135,Expedia Group,$14.13 B,$89.69,1.72%,USA
135,136,Check Point Software,$14.05 B,$112.07,0.60%,Israel
136,137,AspenTech,$13.76 B,$221.48,0.30%,USA
137,138,Zebra Technologies,$13.76 B,$265.86,0.81%,USA
138,139,Trimble,$13.73 B,$55.44,1.67%,USA
139,140,NortonLifeLock,$13.65 B,$20.51,0.77%,USA
140,141,Wolfspeed,$13.63 B,$109.82,0.34%,USA
141,142,NetApp,$13.60 B,$62.61,1.35%,USA
142,143,Chewy,$13.54 B,$32.05,0.91%,USA
143,144,Jack Henry & Associates,$13.37 B,$183.42,0.84%,USA
144,145,Citrix Systems,$13.17 B,$103.80,0.05%,USA
145,146,Match Group,$13.11 B,$46.34,2.03%,USA
146,147,HubSpot,$13.09 B,$272.62,0.07%,USA
147,148,MongoDB,$13.03 B,$189.69,2.59%,USA
148,149,Splunk,$12.91 B,$79.38,2.04%,USA
149,150,Paylocity,$12.85 B,$232.48,1.73%,USA
150,151,Akamai,$12.82 B,$80.71,0.49%,USA
151,152,Twilio,$12.63 B,$69.00,1.28%,USA
152,153,Entegris,$12.53 B,$84.15,3.53%,USA
153,154,SS&C Technologies,$12.42 B,$48.71,1.56%,USA
154,155,PTC,$12.35 B,$105.17,0.82%,USA
155,156,AMTD Digital,$12.18 B,$65.00,2.22%,Hong Kong
156,157,Leidos,$12.06 B,$88.39,0.34%,USA
157,158,NICE,$12.06 B,$188.81,0.31%,Israel
158,159,Etsy,$11.93 B,$94.30,2.25%,USA
159,160,WiseTech Global,$11.65 B,$35.63,1.16%,Australia
160,161,ASM International,$11.59 B,$238.11,0.08%,Netherlands
161,162,Seagate Technology,$11.45 B,$55.39,4.14%,Ireland
162,163,ASE Group,$11.09 B,$5.15,2.65%,Taiwan
163,164,GoDaddy,$10.93 B,$69.63,1.23%,USA
164,165,Grab Holdings,$10.82 B,$2.81,2.18%,Singapore
165,166,FICO,$10.81 B,$428.18,0.06%,USA
166,167,DocuSign,$10.33 B,$51.67,1.37%,USA
167,168,AVEVA,$10.31 B,"$3,416",0.03%,UK
168,169,Lasertec,$10.15 B,$112.56,2.20%,Japan
169,170,LG Electronics,$10.00 B,$13.72,0.71%,S. Korea
170,171,Unity Software,$9.79 B,$32.61,1.92%,USA
171,172,AMEC,$9.75 B,$15.83,0.32%,China
172,173,Dynatrace,$9.53 B,$33.20,0.03%,USA
173,174,DiDi,$9.36 B,$1.93,2.53%,China
174,175,Zendesk,$9.34 B,$75.70,0.26%,USA
175,176,Delivery Hero,$9.24 B,$36.30,2.74%,Germany
176,177,Bentley Systems,$9.17 B,$31.80,2.28%,USA
177,178,Lenovo,$9.08 B,$0.75,0.34%,Hong Kong
178,179,Toast,$8.97 B,$17.37,1.64%,USA
179,180,NEC Corp,$8.85 B,$32.47,0.64%,Japan
180,181,Yonyou,$8.61 B,$2.51,1.01%,China
181,182,F5 Networks,$8.57 B,$143.91,0.14%,USA
182,183,Disco Corp.,$8.45 B,$234.26,1.05%,Japan
183,184,Avast,$8.44 B,$8.01,0.00%,Czech Republic
184,185,Qorvo,$8.41 B,$81.54,0.95%,USA
185,186,Okta,$8.39 B,$52.84,2.47%,USA
186,187,Juniper Networks,$8.37 B,$25.97,1.55%,USA
187,188,Ceridian,$8.30 B,$54.26,0.97%,USA
188,189,Avalara,$8.09 B,$91.36,0.80%,USA
189,190,Roku,$8.02 B,$58.18,2.84%,USA
190,191,Globant,$8.00 B,$191.57,0.78%,Luxembourg
191,192,Lumen,$7.98 B,$7.71,5.17%,USA
192,193,Genpact,$7.98 B,$43.50,0.11%,Bermuda
193,194,Sage Group,$7.86 B,$771.92,3.36%,UK
194,195,Xero,$7.85 B,$51.87,0.92%,New Zealand
195,196,Pure Storage,$7.79 B,$26.09,0.65%,USA
196,197,Robinhood,$7.72 B,$9.24,2.12%,USA
197,198,Adevinta,$7.71 B,$6.05,1.57%,Norway
198,199,AppLovin,$7.53 B,$20.32,0.54%,USA
199,200,Trend Micro,$7.49 B,$53.64,1.71%,Japan
200,201,Monotaro,$7.46 B,$14.86,0.42%,Japan
201,202,Dropbox,$7.37 B,$19.99,0.60%,USA
202,203,Telus International,$7.37 B,$27.39,0.51%,Canada
203,204,Advantech,$7.33 B,$9.45,0.17%,Taiwan
204,205,Nykaa,$7.29 B,$15.39,2.04%,India
205,206,OpenText,$7.22 B,$26.92,0.70%,Canada
206,207,Logitech,$7.21 B,$44.56,1.17%,Switzerland
207,208,Entain,$7.13 B,"$1,212",3.42%,Isle of Man
208,209,SentinelOne,$7.09 B,$25.27,1.94%,USA
209,210,Zillow,$7.05 B,$29.27,0.91%,USA
210,211,GitLab,$7.04 B,$47.32,1.21%,USA
211,212,Krafton,$6.98 B,$148.97,1.44%,S. Korea
212,213,UiPath,$6.94 B,$12.75,0.93%,USA
213,214,Lufax,$6.88 B,$3.01,4.14%,China
214,215,Rakuten,$6.81 B,$4.29,3.43%,Japan
215,216,Rohm,$6.75 B,$68.82,0.30%,Japan
216,217,Oracle Corp Japan,$6.72 B,$51.77,0.13%,Japan
217,218,Tata Elxsi,$6.71 B,$103.90,0.99%,India
218,219,Procore,$6.70 B,$49.02,3.47%,USA
219,220,Clarivate,$6.64 B,$9.87,3.52%,UK
220,221,Lattice Semiconductor,$6.58 B,$47.93,1.36%,USA
221,222,Konami Holdings,$6.48 B,$48.52,4.01%,Japan
222,223,Embracer Group,$6.45 B,$5.22,0.29%,Sweden
223,224,Elastic NV,$6.42 B,$67.62,0.70%,USA
224,225,Zomato,$6.40 B,$0.71,0.26%,India
225,226,CDK Global,$6.39 B,$54.76,0.00%,USA
226,227,dLocal,$6.22 B,$21.04,6.98%,Uruguay
227,228,SailPoint,$6.18 B,$65.24,0.25%,USA
228,229,Confluent,$6.16 B,$21.86,0.18%,USA
229,230,Bilibili,$6.16 B,$16.09,0.56%,China
230,231,ZOZO,$6.14 B,$20.75,0.23%,Japan
231,232,CyberArk,$5.98 B,$147.03,0.62%,Israel
232,233,Samsara,$5.96 B,$11.60,0.51%,USA
233,234,Vipshop,$5.91 B,$9.31,1.42%,China
234,235,Doximity,$5.87 B,$30.73,0.69%,USA
235,236,Qualtrics,$5.81 B,$9.93,1.97%,USA
236,237,Unimicron,$5.73 B,$3.89,4.66%,Taiwan
237,238,ASUS,$5.66 B,$7.62,1.47%,Taiwan
238,239,Nemetschek,$5.63 B,$47.79,0.37%,Germany
239,240,Clearwater Analytics,$5.61 B,$16.34,3.48%,USA
240,241,Futu Holdings,$5.60 B,$38.10,0.11%,Hong Kong
241,242,Informatica,$5.57 B,$19.82,0.75%,USA
242,243,Descartes Systems,$5.40 B,$63.27,1.69%,Canada
243,244,Qualys,$5.40 B,$140.92,0.35%,USA
244,245,Mandiant,$5.39 B,$22.98,0.00%,USA
245,246,HashiCorp,$5.39 B,$28.93,4.21%,USA
246,247,Vonage Holdings Corp.,$5.38 B,$20.99,0.00%,USA
247,248,Paytm,$5.28 B,$8.15,0.79%,India
248,249,Five9,$5.26 B,$75.16,0.88%,USA
249,250,CCC Intelligent Solutions,$5.20 B,$8.45,0.35%,USA
250,251,monday.com,$5.19 B,$118.92,0.43%,Israel
251,252,GlobalWafers,$5.18 B,$11.91,1.05%,Taiwan
252,253,Allegro.eu,$5.14 B,$5.03,0.36%,Poland
253,254,Silergy,$5.14 B,$13.55,0.47%,China
254,255,Ocado,$4.96 B,$601.99,0.51%,UK
255,256,Zalando,$4.94 B,$19.05,0.82%,Germany
256,257,Jubilant FoodWorks,$4.87 B,$7.39,0.28%,India
257,258,Kakao Pay,$4.87 B,$36.75,1.32%,S. Korea
258,259,Paycor,$4.84 B,$27.59,1.50%,USA
259,260,Temenos,$4.80 B,$67.04,1.13%,Switzerland
260,261,Lyft,$4.76 B,$13.52,3.36%,USA
261,262,Lumentum,$4.67 B,$68.66,2.47%,USA
262,263,NCsoft,$4.67 B,$230.13,0.15%,S. Korea
263,264,Realtek,$4.66 B,$9.10,1.87%,Taiwan
264,265,Nutanix,$4.60 B,$20.28,1.36%,USA
265,266,Carsales,$4.56 B,$12.99,0.20%,Australia
266,267,Coupa,$4.55 B,$59.93,3.56%,USA
267,268,Nanya Technology,$4.48 B,$1.45,0.77%,Taiwan
268,269,Endava,$4.45 B,$79.58,3.43%,UK
269,270,CyberAgent,$4.33 B,$8.57,1.48%,Japan
270,271,SPS Commerce,$4.32 B,$120.21,2.35%,USA
271,272,Wiwynn,$4.32 B,$24.76,2.48%,Taiwan
272,273,Soitec,$4.32 B,$121.71,0.84%,France
273,274,Asana,$4.31 B,$20.45,1.02%,USA
274,275,DoubleVerify,$4.28 B,$26.15,0.23%,USA
275,276,Novatek Microelectronics,$4.28 B,$7.04,0.45%,Taiwan
276,277,Teladoc Health,$4.27 B,$26.42,2.04%,USA
277,278,Weibo,$4.17 B,$16.85,3.60%,China
278,279,Wix.com,$4.14 B,$72.17,0.69%,Israel
279,280,Allegro MicroSystems,$4.12 B,$21.55,0.23%,USA
280,281,Smartsheet,$4.11 B,$31.50,3.31%,USA
281,282,Global-e,$4.10 B,$26.25,3.06%,Israel
282,283,51job,$4.10 B,$60.90,0.05%,China
283,284,Nan Ya PCB,$4.07 B,$6.30,3.63%,Taiwan
284,285,SoFi,$4.06 B,$5.08,4.33%,USA
285,286,Topicus,$4.04 B,$50.21,2.25%,Canada
286,287,Alteryx,$3.98 B,$58.18,0.26%,USA
287,288,Alight,$3.97 B,$7.14,0.71%,USA
288,289,Playtika,$3.96 B,$9.62,6.78%,Israel
289,290,Autohome,$3.90 B,$30.49,0.23%,China
290,291,RingCentral,$3.86 B,$40.54,0.64%,USA
291,292,Tenable,$3.85 B,$34.56,0.40%,USA
292,293,Kingsoft,$3.85 B,$2.83,1.14%,China
293,294,Bumble,$3.83 B,$20.76,2.21%,USA
294,295,HelloFresh,$3.82 B,$21.74,2.27%,Germany
295,296,Nuvei,$3.81 B,$26.81,3.25%,Canada
296,297,Wayfair,$3.79 B,$35.73,5.38%,USA
297,298,Omnicell,$3.78 B,$85.42,1.32%,USA
298,299,nCino,$3.78 B,$34.12,0.41%,USA
299,300,Nikon,$3.71 B,$9.56,3.24%,Japan
300,301,KnowBe4,$3.71 B,$21.13,1.45%,USA
301,302,Power Integrations,$3.70 B,$64.88,0.87%,USA
302,303,Freshworks,$3.69 B,$12.91,2.71%,USA
303,304,Ubisoft,$3.65 B,$29.74,0.36%,France
304,305,Marqeta,$3.65 B,$6.66,1.19%,USA
305,306,New Relic,$3.64 B,$54.22,0.22%,USA
306,307,Perfect World Entertainment,$3.60 B,$1.80,2.47%,China
307,308,IronSource,$3.60 B,$3.52,1.12%,Israel
308,309,DigitalOcean,$3.52 B,$36.32,1.28%,USA
309,310,Box,$3.45 B,$24.25,0.74%,USA
310,311,BE Semiconductor,$3.43 B,$43.00,2.99%,Netherlands
311,312,Rumble,$3.41 B,$12.19,1.33%,USA
312,313,Onto Innovation,$3.27 B,$65.85,0.35%,USA
313,314,Sprout Social,$3.20 B,$58.62,1.31%,USA
314,315,Instructure Holdings,$3.18 B,$22.47,0.67%,USA
315,316,MakeMyTrip,$3.14 B,$29.89,2.38%,India
316,317,Braze,$3.13 B,$33.02,3.76%,USA
317,318,Schibsted,$3.13 B,$13.78,2.38%,Norway
318,319,Teradata,$3.11 B,$30.26,1.27%,USA
319,320,EngageSmart,$3.06 B,$18.73,1.24%,USA
320,321,Sega Sammy Holdings,$3.02 B,$13.72,3.07%,Japan
321,322,Just Eat Takeaway,$2.95 B,$13.86,0.26%,Netherlands
322,323,Squarespace,$2.94 B,$20.98,0.94%,USA
323,324,Appian,$2.93 B,$40.54,2.29%,USA
324,325,Chindata,$2.93 B,$8.00,1.27%,China
325,326,EVO Payments,$2.93 B,$33.33,0.00%,USA
326,327,BlackBerry,$2.89 B,$4.97,1.97%,Canada
327,328,Varonis,$2.87 B,$26.19,0.68%,USA
328,329,NCR Corporation,$2.82 B,$20.67,0.86%,USA
329,330,Kinaxis,$2.81 B,$102.01,6.18%,Canada
330,331,LifeStance Health Group,$2.80 B,$7.45,0.00%,USA
331,332,Aurora Innovation,$2.75 B,$2.39,1.70%,USA
332,333,Supermicro,$2.72 B,$52.15,2.40%,USA
333,334,Jamf,$2.71 B,$22.52,1.53%,USA
334,335,NEXTDC,$2.70 B,$5.90,0.77%,Australia
335,336,ASM Pacific Technology,$2.68 B,$6.55,0.96%,Hong Kong
336,337,PB Fintech,$2.67 B,$5.78,1.92%,India
337,338,PowerSchool,$2.67 B,$16.88,0.36%,USA
338,339,Sanmina,$2.63 B,$45.60,0.57%,USA
339,340,TietoEVRY,$2.61 B,$22.07,0.17%,Finland
340,341,Pegasystems,$2.61 B,$31.89,1.18%,USA
341,342,Chegg,$2.61 B,$20.67,9.08%,USA
342,343,Luminar Technologies,$2.61 B,$7.30,0.95%,USA
343,344,Rapid7,$2.61 B,$44.49,2.88%,USA
344,345,Cvent,$2.60 B,$5.40,2.88%,USA
345,346,Softcat,$2.55 B,"$1,281",2.07%,UK
346,347,Darktrace,$2.49 B,$348.08,6.07%,UK
347,348,Nordic Semiconductor,$2.49 B,$12.83,2.80%,Norway
348,349,Lightspeed POS,$2.43 B,$16.28,3.27%,Canada
349,350,Blackbaud,$2.37 B,$44.79,1.71%,USA
350,351,Flywire,$2.36 B,$21.80,5.38%,USA
351,352,Mercari,$2.35 B,$14.69,2.22%,Japan
352,353,Sprinklr,$2.33 B,$8.98,3.85%,USA
353,354,SimCorp,$2.32 B,$59.10,1.64%,Denmark
354,355,Kulicke and Soffa Industries,$2.27 B,$39.13,1.76%,Singapore
355,356,MicroStrategy,$2.26 B,$200.18,4.56%,USA
356,357,Ambarella,$2.24 B,$57.31,1.98%,USA
357,358,Silicon Motion,$2.21 B,$67.02,2.64%,Hong Kong
358,359,KPIT Technologies,$2.20 B,$8.06,1.63%,India
359,360,Verint Systems,$2.20 B,$33.77,3.24%,USA
360,361,Xerox,$2.15 B,$13.84,3.42%,USA
361,362,OVH Groupe,$2.14 B,$10.78,0.58%,France
362,363,Acer,$2.11 B,$0.68,1.17%,Taiwan
363,364,CD Projekt,$2.10 B,$20.88,13.47%,Poland
364,365,Hisense Visual Technology,$2.10 B,$1.61,4.45%,China
365,366,EverCommerce,$2.05 B,$10.58,0.47%,USA
366,367,Certara,$2.05 B,$12.84,0.62%,USA
367,368,360 DigiTech,$2.04 B,$13.18,0.15%,China
368,369,Vertex,$2.00 B,$13.39,1.59%,USA
369,370,Jfrog,$1.97 B,$19.93,3.37%,USA
370,371,stem,$1.97 B,$12.83,7.96%,USA
371,372,Micro Focus,$1.95 B,$5.56,0.71%,UK
372,373,Payoneer,$1.93 B,$5.59,2.61%,USA
373,374,Bukalapak.com,$1.90 B,$0.02000,2.19%,Indonesia
374,375,Axcelis Technologies,$1.90 B,$57.57,0.40%,USA
375,376,VIZIO,$1.89 B,$9.82,0.61%,USA
376,377,E2open,$1.88 B,$6.23,1.63%,USA
377,378,Allscripts,$1.84 B,$16.15,3.12%,USA
378,379,Q2,$1.83 B,$32.02,3.41%,USA
379,380,Sterling Check,$1.81 B,$18.85,3.23%,USA
380,381,SIGNA Sports United,$1.81 B,$5.38,3.76%,Germany
381,382,Kainos Group,$1.80 B,"$1,456",0.15%,UK
382,383,Spirent,$1.78 B,$291.58,1.43%,UK
383,384,ZipRecruiter,$1.77 B,$15.55,1.64%,USA
384,385,Formosa Sumco Technology,$1.76 B,$4.55,0.35%,Taiwan
385,386,Revolve,$1.75 B,$23.99,1.48%,USA
386,387,Plantronics,$1.75 B,$39.82,0.00%,USA
387,388,GB Group (GBG),$1.70 B,$677.00,2.21%,UK
388,389,Upstart,$1.69 B,$20.80,3.26%,USA
389,390,Credo Technology,$1.69 B,$11.61,0.34%,USA
390,391,Udemy,$1.68 B,$12.31,2.67%,USA
391,392,Amplitude,$1.68 B,$15.00,0.07%,USA
392,393,CSG International,$1.68 B,$52.44,2.35%,USA
393,394,TechTarget,$1.67 B,$56.84,3.40%,USA
394,395,LegalZoom,$1.67 B,$8.61,1.37%,USA
395,396,SiTime,$1.66 B,$78.40,3.61%,USA
396,397,Sabre,$1.66 B,$5.06,6.64%,USA
397,398,Software AG,$1.65 B,$22.42,0.51%,Germany
398,399,IndiaMART,$1.65 B,$53.54,0.20%,India
399,400,TuSimple,$1.64 B,$7.35,2.65%,USA
400,401,Trainline,$1.63 B,$342.56,0.44%,UK
401,402,Criteo,$1.63 B,$26.97,0.67%,France
402,403,N-Able,$1.61 B,$8.97,0.44%,USA
403,404,Remitly,$1.58 B,$9.46,5.40%,USA
404,405,Duck Creek Technologies,$1.55 B,$11.72,0.77%,USA
405,406,Semrush,$1.51 B,$10.76,0.92%,USA
406,407,Paradox Interactive,$1.51 B,$14.35,1.89%,Sweden
407,408,Coursera,$1.50 B,$10.33,0.78%,USA
408,409,DeNA,$1.49 B,$12.82,1.71%,Japan
409,410,Xperi,$1.48 B,$14.27,0.63%,USA
410,411,TeamViewer,$1.45 B,$7.74,0.64%,Germany
411,412,Lemonade,$1.44 B,$21.02,2.19%,USA
412,413,AvidXchange,$1.44 B,$7.30,2.54%,USA
413,414,Digital Turbine,$1.43 B,$14.53,2.55%,USA
414,415,Playtech,$1.38 B,$453.28,7.16%,Isle of Man
415,416,C3 AI,$1.38 B,$12.77,2.89%,USA
416,417,Vacasa,$1.38 B,$3.10,0.65%,USA
417,418,Vivint Smart Home,$1.36 B,$6.43,2.06%,USA
418,419,23andMe,$1.35 B,$3.00,8.30%,USA
